all lines with 'Brittan'...:
Tag	Token	Sentence
0	Brittani	Brittani_0 de_0 Bituricas_GRP-B a_0 Gothis_GRP-B expulsi_0 sunt_0 ,_0 multis_0 apud_0 Dolensim_PRS-B vicum_0 peremptis_0 ._0
GRP-B	Brittanorum	Chanao_0 quoque_0 Brittanorum_GRP-B comes_0 tres_0 fratres_0 suos_0 interfecit_0 ._0
PRS-B	Brittani	Nam_0 semper_0 Brittani_PRS-B sub_0 Francorum_PRS-B potestatem_0 post_0 obitum_0 regis_0 Chlodovechi_PRS-B fuerunt_0 ,_0 et_0 comites_0 ,_0 non_0 regis_0 appellati_0 sunt_0 ._0
PRS-B	Brittanias	Cumque_0 se_0 cerneret_0 evadere_0 non_0 posse_0 ,_0 Brittanias_PRS-B petiit_0 ,_0 ibique_0 cum_0 Chonoobro_PRS-B Brittanorum_PRS-I comite_0 ipse_0 vel_0 uxor_0 eius_0 ac_0 filiae_0 latuerunt_0 ._0
PRS-I	Brittanorum	Cumque_0 se_0 cerneret_0 evadere_0 non_0 posse_0 ,_0 Brittanias_PRS-B petiit_0 ,_0 ibique_0 cum_0 Chonoobro_PRS-B Brittanorum_PRS-I comite_0 ipse_0 vel_0 uxor_0 eius_0 ac_0 filiae_0 latuerunt_0 ._0
GEO-B	Brittanias	Chlotharius_0 autem_0 rex_0 contra_0 Chramnum_PRS-B frendens_0 ,_0 cum_0 exercitu_0 adversus_0 eum_0 in_0 Brittanias_GEO-B dirigit_0 ._0
GRP-B	Brittanis	Cumque_0 in_0 unum_0 campum_0 conglobatus_0 uterque_0 resederet_0 exercitus_0 et_0 Chramnus_PRS-B cum_0 Brittanis_GRP-B contra_0 patrem_0 aciem_0 instruxisset_0 ,_0 incumbente_0 nocte_0 a_0 bello_0 cessatum_0 est._0 Ea_0 quoque_0 nocte_0 Chonoober_PRS-B Brittanorum_GRP-B comes_0 dicit_0 ad_0 Chramnum_PRS-B <COLON>_0 '_0 Iniustum_GRP-B censeo_0 te_0 contra_0 patrem_0 tuum_0 debere_0 egredi_0 ._0
GRP-B	Brittanorum	Cumque_0 in_0 unum_0 campum_0 conglobatus_0 uterque_0 resederet_0 exercitus_0 et_0 Chramnus_PRS-B cum_0 Brittanis_GRP-B contra_0 patrem_0 aciem_0 instruxisset_0 ,_0 incumbente_0 nocte_0 a_0 bello_0 cessatum_0 est._0 Ea_0 quoque_0 nocte_0 Chonoober_PRS-B Brittanorum_GRP-B comes_0 dicit_0 ad_0 Chramnum_PRS-B <COLON>_0 '_0 Iniustum_GRP-B censeo_0 te_0 contra_0 patrem_0 tuum_0 debere_0 egredi_0 ._0
GRP-B	Brittanorum	Confligentes_0 etenim_0 pariter_0 ,_0 Brittanorum_GRP-B comes_0 terga_0 vertit_0 ibique_0 et_0 caecidit_0 ._0
0	Brittanis	In_0 Brittanis_0 haec_0 acta_0 sunt_0 ._0
PRS-I	Brittanorum	Macliavus_0 quondam_0 et_0 Bodicus_PRS-B Brittanorum_PRS-I comites_0 sacramentum_0 inter_0 se_0 dederant_0 ,_0 ut_0 ,_0 quis_0 ex_0 eis_0 superviveret_0 ,_0 filius_0 patris_0 alterius_0 tamquam_0 proprius_0 defensaret_0 ._0
0	Brittania	Cui_0 tandem_0 misertus_0 Deus_PRS-B ,_0 collectis_0 secum_0 a_0 Brittania_0 viris_0 ,_0 se_0 super_0 Macliavum_PRS-B obiecit_0 eumque_0 cum_0 filio_0 eius_0 Iacob_PRS-B gladio_0 interemet_0 partemque_0 regni_0 ,_0 quam_0 quondam_0 pater_0 eius_0 tenuerat_0 ,_0 in_0 sua_0 potestate_0 restituit_0 ;_0
PRS-B	Brittaniis	Tunc_0 Winnocus_0 Britto_PRS-B in_0 summa_0 abstinentia_0 a_0 Brittaniis_PRS-B venit_0 Toronus_PRS-B ,_0 Hierusolimis_PRS-B accedere_0 cupiens_0 ,_0 nullum_0 alium_0 vestimentum_0 nisi_0 de_0 pellibus_0 ovium_0 lana_0 privatis_0 habens_0 ;_0
PRS-B	Brittaniis	Quod_0 exercitus_0 in_0 Brittaniis_PRS-B abiit_0 ._0
PRS-B	Brittania	Dehinc_PRS-B Toronici_PRS-B ,_0 Pictavi_PRS-B ,_0 Baiocassini_PRS-B ,_0 Caenomannici_PRS-B et_0 Andecavi_PRS-B cum_0 aliis_0 multis_0 in_0 Brittania_PRS-B ex_0 iussu_0 Chilperici_PRS-B regis_0 abierunt_0 et_0 contra_0 Varocum_PRS-B ,_0 filium_0 quondam_0 Macliavi_PRS-B ,_0 ad_0 Vicinoniam_PRS-B fluvium_0 resedent_0 ._0
PRS-B	Brittanorum	De_0 vastatione_0 Brittanorum_PRS-B ._0
0	Brittani	Brittani_0 quoque_0 graviter_0 regionem_0 Redonicam_GEO-B vastaverunt_0 incendio_0 ,_0 praeda_0 ,_0 captivitate_0 ._0
PRS-B	Brittanus	Byppolenus_0 vero_0 dux_0 contra_0 Brittanus_PRS-B dirigitur_0 et_0 loca_0 aliqua_0 Brittaniae_0 ferro_0 incendioque_0 obpraemit_0 ;_0
0	Brittaniae	Byppolenus_0 vero_0 dux_0 contra_0 Brittanus_PRS-B dirigitur_0 et_0 loca_0 aliqua_0 Brittaniae_0 ferro_0 incendioque_0 obpraemit_0 ;_0
PRS-B	Brittanorum	De_0 insidiis_0 Brittanorum_PRS-B ._0
0	Brittani	Brittani_0 eo_0 anno_0 valde_0 infesti_0 circa_0 urbem_0 fuere_0 Namneticam_GEO-B atque_0 Redonicam_PRS-B ._0
GRP-B	Brittanorum	Post_0 haec_0 Elafius_PRS-B Catalaunensis_GRP-B episcopus_0 propter_0 causas_0 Brunichildis_PRS-B reginae_0 in_0 Hispaniis_GRP-B in_0 legatione_0 directus_0 ,_0 correptus_0 a_0 febre_0 nimia_0 ,_0 spiritum_0 exalavit_0 ,_0 et_0 exinde_0 delatus_0 mortuus_0 ,_0 ad_0 civitatem_0 suam_0 sepultus_0 est._0 Eonius_PRS-B quoque_0 episcopus_0 ,_0 quem_0 ligatum_0 Brittanorum_GRP-B supra_0 meminimus_0 ,_0 ad_0 civitatem_0 suam_0 regredi_0 non_0 permissus_0 ,_0 ut_0 Andecavus_PRS-B pasceretur_0 de_0 publico_0 ,_0 a_0 rege_0 praeceptum_0 est._0 Qui_0 Parisius_PRS-B adveniens_0 ,_0 dum_0 die_0 dominica_0 sacrosancta_0 sollemnia_0 celebraret_0 ,_0 emissa_0 cum_0 hinnitu_0 vocem_0 ,_0 terrae_0 conruit_0 ._0
GRP-B	Brittaniis	Sed_0 hic_0 ,_0 dum_0 Sigiberthus_GRP-B duos_0 annos_0 Turonus_PRS-B tenuit_0 ,_0 hic_0 in_0 Brittaniis_GRP-B latuit_0 ._0
PRS-B	Brittanis	De_0 Brittanis_PRS-B et_0 obitu_0 Namati_PRS-B episcopi_0 ._0
0	Brittani	Brittani_0 quoque_0 inruentes_0 in_0 termino_0 Namnitico_PRS-B ,_0 praedas_0 egerunt_0 ,_0 pervadentes_0 villas_0 et_0 captivus_0 abducentes_0 ._0
0	Brittani	Brittani_0 eo_0 anno_0 graviter_0 terraturium_0 Namneticum_0 Redonicumque_0 praedae_0 subiecerunt_0 ,_0 vindimiantes_0 vineas_0 ,_0 culturas_0 devastantes_0 ac_0 populum_0 villarum_0 abducentes_0 captivum_0 ,_0 nihilque_0 de_0 promissis_0 superioribus_0 costodientes_0 ,_0 et_0 non_0 solum_0 non_0 costodientes_0 promissa_0 ,_0 verum_0 etiam_0 detrahentes_0 regibus_0 nostris_0 ._0
